filename	total_length	ncontigs	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n
ERR4549801.fasta	5434772	37	146885.73	1287650	600	198	2	483885	4	368829	7	93443	11
ERR4549803.fasta	5548124	69	80407.59	1656629	520	100	1	766579	3	358694	5	93052	13
ERR4549804.fasta	5552886	74	75039.00	1656161	520	99	1	766914	3	358967	5	93052	13
ERR4549805.fasta	5878557	153	38421.94	392246	501	290	3	146643	13	86552	23	26457	49
ERR4549806.fasta	5472689	47	116440.19	1486657	544	485	5	766797	3	358927	5	108251	11
ERR4549808.fasta	5472576	35	156359.31	810017	598	585	6	369825	5	276032	8	176540	13
ERR4549809.fasta	5092377	18	282909.83	1925173	557	292	3	984826	2	422287	4	232532	7
ERR4549810.fasta	5715784	94	60806.21	731027	520	197	2	346572	6	190986	10	59947	19
ERR4549811.fasta	5389424	64	84209.75	852270	511	99	1	347988	6	245136	10	81982	17
ERR4549812.fasta	5666129	145	39076.75	464712	501	878	9	201449	11	109049	18	26988	36
ERR4549813.fasta	5527575	159	34764.62	319460	505	586	6	141079	13	78646	25	28249	46
ERR4549814.fasta	5790467	128	45238.02	486695	520	193	2	150287	13	104400	23	33356	39
ERR4549815.fasta	5367198	60	89453.30	513489	533	100	1	345112	7	245291	11	81982	18
ERR4549818.fasta	5451608	43	126781.58	757405	638	393	4	517185	5	332823	8	86504	14
ERR4549829.fasta	5452721	42	129826.69	753607	638	196	2	393732	5	332993	8	101719	14
ERR4549830.fasta	5453036	41	133000.88	753607	638	196	2	553248	5	334560	7	94274	13
ERR4549831.fasta	5663648	138	41040.93	421873	501	678	7	204819	10	116495	17	29494	35
ERR4549832.fasta	5085476	21	242165.52	727455	585	394	4	584850	4	398700	6	311855	9
ERR4549833.fasta	5690287	183	31094.46	370595	505	485	5	231223	10	109382	17	26251	34
ERR4549834.fasta	6001807	181	33159.15	466524	505	396	4	151539	11	107688	20	26256	41
ERR4549837.fasta	5251170	33	159126.36	1141568	533	99	1	388097	5	360925	7	99475	12
ERR4549838.fasta	5341693	35	152619.80	792962	501	394	4	432022	5	288069	8	129345	13
ERR4549839.fasta	5367110	41	130905.12	753201	610	96	1	464510	5	234464	9	99372	16
ERR4549843.fasta	5893852	98	60141.35	588661	520	687	7	181300	11	109412	19	51787	34
ERR4549847.fasta	5841382	126	46360.17	399006	505	389	4	250354	9	101039	16	38177	33
ERR4549848.fasta	5183329	30	172777.63	1206618	517	198	2	499590	4	386717	6	154922	10
ERR4549850.fasta	5185927	30	172864.23	1050015	537	100	1	730488	3	349728	5	142700	10
ERR4549851.fasta	5752375	114	50459.43	435974	529	294	3	158207	11	112131	20	36532	37
ERR4549852.fasta	6046943	158	38271.79	346702	512	784	8	184742	11	132569	19	34930	36
ERR4549853.fasta	5755139	125	46041.11	392115	523	299	3	152885	13	98829	22	35820	42
ERR4549854.fasta	5786911	93	62224.85	763684	532	197	2	297692	7	176282	13	47978	26
ERR4549855.fasta	5520177	117	47181.00	294073	504	492	5	163040	13	85776	22	34468	41
ERR4549856.fasta	5680423	75	75738.97	921376	547	975	10	581261	4	217155	8	45272	18
ERR4549857.fasta	5487263	49	111984.96	525798	510	592	6	351692	7	259254	10	86762	18
ERR4549858.fasta	5744833	97	59225.08	397685	510	197	2	173706	10	99484	19	38603	36
ERR4549859.fasta	5437762	95	57239.60	505983	509	198	2	214586	9	115122	15	41928	29
ERR4549860.fasta	5469038	48	113938.29	1656336	544	192	2	766660	3	358967	5	108251	10
ERR4549861.fasta	5443620	44	123718.64	1486678	702	1383	14	513766	3	359086	6	99476	13
ERR4549862.fasta	6119201	94	65097.88	588761	520	494	5	180841	11	110407	19	51787	35
ERR4549863.fasta	5472038	53	103246.00	918640	544	298	3	513525	4	358927	7	99664	13
ERR4549869.fasta	5596593	112	49969.58	396528	504	588	6	171047	12	120847	19	31990	37
ERR4549870.fasta	5839750	145	40274.14	350402	503	195	2	147794	13	99896	23	27172	45
ERR4549871.fasta	5773801	34	169817.68	1230712	525	688	7	427068	5	303439	8	95217	13
ERR4549872.fasta	5524526	44	125557.41	1302678	510	292	3	392366	4	205926	8	99619	15
ERR4549874.fasta	5591616	49	114114.61	842294	502	193	2	433709	5	309862	8	94379	14
ERR4549875.fasta	5692959	76	74907.36	469225	523	391	4	272907	8	155237	14	59537	24
ERR4549876.fasta	5667116	133	42609.89	409166	510	694	7	183491	11	121195	19	31982	35
ERR4549877.fasta	5472102	34	160944.18	968550	501	396	4	499965	4	349809	7	100940	11
ERR4549878.fasta	5444187	79	68913.76	476909	501	679	7	205339	9	148348	15	52407	25
ERR4549879.fasta	5190527	24	216271.96	1785857	605	490	5	603608	3	472407	4	142092	8
ERR4549887.fasta	5412862	240	22553.59	147660	506	700	7	52176	37	29798	66	14038	117
ERR4570363.fasta	5201735	88	59110.62	377535	501	396	4	158112	12	101419	19	38927	34
ERR4596859.fasta	5705265	70	81503.79	571279	510	399	4	350228	7	209495	11	74717	20
ERR4596860.fasta	5630321	76	74083.17	854322	518	299	3	378049	6	242365	9	75423	18
ERR4596861.fasta	5580260	67	83287.46	1826610	502	396	4	479432	3	361330	5	68289	12
ERR4596862.fasta	5642971	82	68816.72	755554	510	397	4	414254	6	259253	9	74717	17
ERR4596863.fasta	5660766	76	74483.76	1003050	528	100	1	474278	4	307031	8	94393	13
ERR4596864.fasta	5579604	57	97887.79	1625870	535	595	6	480033	3	310306	6	59204	13
ERR4635101.fasta	5582030	56	99679.11	688605	540	297	3	325056	6	248055	10	76800	18
ERR4635102.fasta	5809334	65	89374.37	1103718	506	393	4	369397	5	219226	9	75710	18
ERR4635105.fasta	5609019	72	77903.04	878921	538	484	5	397239	5	229498	8	78000	18
ERR4635106.fasta	5295798	75	70610.64	422463	500	401	5	294815	8	213051	12	59418	21
ERR4635107.fasta	5295834	80	66197.93	422463	500	590	6	335570	8	244697	11	54774	21
ERR4635108.fasta	5533614	64	86462.72	400055	518	692	7	246949	9	187914	14	76935	23
ERR4635110.fasta	5518665	45	122637.00	840266	570	694	7	398994	5	308294	8	109659	14
ERR4635112.fasta	5566274	50	111325.48	850791	582	987	10	288472	6	216442	11	74939	19
ERR4635115.fasta	5315834	44	120814.41	507824	716	594	6	252439	7	206291	12	94288	19
ERR4635116.fasta	5442992	53	102697.96	1122582	508	784	8	385411	5	361363	7	93171	15
ERR4635118.fasta	5333974	44	121226.68	1395229	505	499	5	347373	5	283309	8	100788	14
ERR4635119.fasta	5316977	48	110770.35	500536	536	1080	11	218293	8	194021	13	94270	20
ERR4635120.fasta	5639427	76	74202.99	595237	534	98	1	277956	8	213037	13	79279	21
ERR4635122.fasta	5524375	48	115091.15	1199048	515	491	5	365178	5	278059	8	94274	14
ERR4635126.fasta	5638042	61	92426.92	623757	510	779	8	388573	6	158945	11	72324	21
ERR4635127.fasta	5464704	53	103107.62	870370	577	394	4	560193	4	214636	7	86570	15
ERR4635128.fasta	5755214	72	79933.53	886237	500	295	3	363111	6	216477	10	99628	19
ERR4635130.fasta	5667459	77	73603.36	1285321	504	797	8	368368	5	353989	8	68768	16
ERR4635131.fasta	5673525	75	75647.00	1285391	504	876	9	359097	5	260620	9	78351	17
ERR4635135.fasta	5532090	53	104379.06	761290	507	393	4	429695	5	232537	9	86517	17
ERR4635136.fasta	5750698	103	55832.02	433731	504	583	6	257085	9	199634	14	47810	27
ERR4635139.fasta	5593923	73	76629.08	479393	623	96	1	310162	7	155812	13	57922	24
ERR4635140.fasta	5643096	78	72347.38	516627	509	198	2	308970	8	230888	12	70423	21
ERR4635141.fasta	5739738	75	76529.84	789723	542	597	6	378636	6	191073	10	70049	20
ERR4635143.fasta	5480951	57	96157.04	1353730	548	298	3	480008	3	305826	6	76894	13
ERR4635144.fasta	5578280	33	169038.79	910706	543	288	3	398689	5	322816	8	111255	14
ERR4635145.fasta	5540955	53	104546.32	790087	546	974	10	379501	6	275320	9	86565	16
ERR4635147.fasta	5600094	41	136587.66	1479375	501	691	7	478690	4	346026	7	194988	11
ERR4635148.fasta	5709757	58	98444.09	1256877	536	392	4	389102	4	230130	8	76881	16
ERR4635149.fasta	5448376	39	139701.95	1465485	656	389	4	474488	4	328909	7	93445	12
ERR4635151.fasta	5601976	36	155610.44	1794731	693	879	9	1034095	2	367753	5	135836	10
ERR4635152.fasta	5414920	48	112810.83	603453	540	689	7	350375	6	225429	10	94264	17
ERR4635153.fasta	5694703	89	63985.43	849803	519	296	3	291344	7	165341	12	61935	24
ERR4635155.fasta	5956870	70	85098.14	1651925	533	394	4	432260	4	338649	7	57913	16
ERR4635156.fasta	5382681	45	119615.13	1289224	525	1083	11	523018	4	264618	7	86568	14
ERR4635157.fasta	5490506	120	45754.22	358219	501	492	5	193233	11	134428	18	36916	34
ERR4635159.fasta	5458089	131	41664.80	454819	504	591	6	182268	11	86944	20	33313	41
ERR4635161.fasta	5742273	78	73618.88	733893	512	892	9	303987	7	224200	11	71354	19
ERR4635162.fasta	5629652	74	76076.38	959327	536	878	9	350082	6	178834	11	99441	19
ERR4635163.fasta	5660032	70	80857.60	603495	540	488	5	349747	6	248055	10	86553	18
ERR4635165.fasta	5521448	100	55214.48	505321	514	386	4	136086	12	94779	22	35824	38
ERR4635166.fasta	5627953	73	77095.25	959772	508	495	5	351459	5	173455	10	86436	18
ERR4635169.fasta	5419790	45	120439.78	1243699	505	690	7	367304	4	216691	8	99402	15
ERR4635170.fasta	5372958	57	94262.42	499048	553	593	6	323171	7	234426	11	76934	18
ERR4635171.fasta	5216492	33	158075.52	1363752	521	488	5	518964	3	349511	5	100457	10
ERR4635173.fasta	5579516	129	43252.06	490269	503	1085	11	284207	8	224598	12	36768	27
ERR4635175.fasta	5648206	57	99091.33	1161860	569	592	6	376670	5	218132	9	93243	17
ERR4635177.fasta	5584462	129	43290.40	668212	501	691	7	262015	8	104386	14	36768	29
ERR4635179.fasta	5690024	78	72949.03	839906	505	495	5	306100	7	179435	11	66385	21
ERR4635181.fasta	5890965	110	53554.23	813954	500	690	7	384613	6	203070	10	55956	22
ERR4635182.fasta	5343943	109	49027.00	402392	514	484	5	144793	12	95165	21	33345	39
ERR4635183.fasta	5565443	76	73229.51	583648	501	691	7	220801	8	144397	14	53402	26
ERR4635185.fasta	6009376	153	39276.97	672312	500	1090	11	246951	7	157767	13	34468	27
ERR4635186.fasta	5564448	61	91220.46	472708	505	1182	12	284462	7	166355	13	86517	21
ERR4635187.fasta	5831517	78	74763.04	787524	536	1084	11	316545	6	162032	11	61883	22
ERR4635188.fasta	5479632	65	84302.03	1424478	520	782	8	354141	5	259791	8	75013	15
ERR4635190.fasta	6005799	123	48827.63	673509	502	980	10	246951	8	202970	13	34468	26
ERR4635191.fasta	5571682	66	84419.42	892240	501	789	8	393986	6	270571	9	86565	16
ERR4635192.fasta	5508756	49	112423.59	742149	502	694	7	295765	6	197014	11	99441	19
ERR4635194.fasta	6008334	118	50918.08	673997	502	594	6	297868	7	216013	12	40636	23
ERR4635198.fasta	5991564	124	48319.06	673800	507	980	10	252372	7	157867	13	55956	25
ERR4635199.fasta	5558762	49	113444.12	1284480	571	889	9	409687	3	260779	7	77274	15
ERR4635200.fasta	5468617	41	133380.90	736765	569	485	5	431189	5	322946	8	109770	13
ERR4635202.fasta	5885629	106	55524.80	670498	500	297	3	231101	8	202528	13	55956	24
ERR4635203.fasta	5443809	44	123722.93	1946626	544	294	3	482764	3	355009	6	86651	11
ERR4635204.fasta	5962580	89	66995.28	918028	520	491	5	387350	6	272959	9	57913	19
ERR4635206.fasta	5893922	105	56132.59	670308	500	391	4	317250	7	202528	12	45035	24
ERR4635207.fasta	5436727	46	118189.72	1081222	552	198	2	341843	6	295494	9	86420	15
ERR4635208.fasta	5585540	59	94670.17	808366	579	489	5	508649	5	402985	7	86569	14
ERR4635210.fasta	5676773	75	75690.31	915360	536	780	8	598743	4	194192	9	69863	18
ERR4635211.fasta	5732298	69	83076.78	518967	510	888	9	388498	7	206776	11	86570	20
ERR4635212.fasta	5997915	128	46858.71	797209	502	687	7	359883	7	186714	11	72651	24
ERR4635214.fasta	5640264	64	88129.12	1039074	533	293	3	401436	5	356861	8	87286	14
ERR4635215.fasta	5643111	56	100769.84	1509119	563	587	6	1478067	2	357509	5	86497	11
ERR4635216.fasta	5733791	62	92480.50	552840	510	988	10	415079	6	214734	10	78967	20
ERR4635217.fasta	5559716	42	132374.19	1260412	619	291	3	401791	4	236495	8	98669	16
ERR4635219.fasta	5599021	36	155528.36	1967564	693	792	8	479191	3	367704	6	135836	10
ERR4635220.fasta	5731824	64	89559.75	750992	510	980	10	388363	6	214734	10	86436	19
ERR4635221.fasta	5405550	50	108111.00	730745	518	984	10	422656	5	259640	8	75844	16
ERR4635223.fasta	5580756	38	146862.00	1777491	693	788	8	479225	3	367948	6	173198	10
ERR4635224.fasta	5933028	117	50709.64	1601484	505	990	10	484881	4	173049	8	69297	20
ERR4635227.fasta	5564954	35	158998.69	1993588	605	288	3	479796	3	378374	6	102294	9
ERR4635228.fasta	5606844	55	101942.62	884584	557	298	3	350958	5	189424	10	84535	18
ERR4635229.fasta	5380496	79	68107.54	600018	520	685	7	287790	7	176683	12	65363	22
ERR4635232.fasta	5605549	56	100099.09	891327	517	493	5	303460	6	208931	10	86436	17
ERR4635233.fasta	5497166	48	114524.29	919847	610	783	8	364960	6	253269	9	98696	17
ERR4635235.fasta	5515756	34	162228.12	1778540	638	688	7	479140	3	378856	6	102294	11
ERR4635236.fasta	5416403	38	142536.92	1838151	558	989	10	429120	3	281301	6	94398	12
ERR4635237.fasta	5534330	59	93802.20	1347042	505	686	7	421172	4	378029	7	100850	11
ERR4635239.fasta	5661014	84	67393.02	554532	523	392	4	203161	9	129853	15	51016	27
ERR4635240.fasta	5441929	39	139536.64	1250595	546	592	6	497498	4	307975	7	141471	12
ERR4635245.fasta	5591166	39	143363.23	815308	501	988	10	358166	5	280617	9	99617	15
ERR4635246.fasta	5750268	52	110582.08	775737	501	878	9	451403	6	304787	9	86516	15
ERR4635249.fasta	5440312	50	108806.24	498881	524	488	5	307730	7	233389	11	135016	17
ERR4635250.fasta	5644318	99	57013.31	705706	532	591	6	359421	6	188623	11	71422	20
ERR4635253.fasta	5319050	37	143758.11	498982	553	693	7	371145	7	283319	10	135016	15
ERR4635254.fasta	5895033	87	67759.00	835109	543	394	4	278320	6	135250	12	72869	23
ERR4635257.fasta	5442410	52	104661.73	472350	553	591	6	283876	8	233498	12	86517	19
ERR4635258.fasta	5853221	68	86076.78	916243	506	494	5	278320	7	145169	13	86432	22
ERR4635261.fasta	5661627	73	77556.53	671755	532	488	5	237704	8	167458	13	71592	23
ERR4635262.fasta	5952936	88	67647.00	909800	506	0	0	225940	8	142113	14	80373	25
ERR4635264.fasta	5733636	108	53089.22	1044635	506	586	6	231873	6	135160	13	36258	29
ERR4635265.fasta	5944832	85	69939.20	1163537	506	391	4	309931	5	159327	10	86432	20
ERR4635268.fasta	5638614	54	104418.78	934715	557	296	3	432260	5	205177	9	90613	17
ERR4635269.fasta	5717883	75	76238.44	624275	539	783	8	319589	7	248056	11	86516	18
ERR4635271.fasta	5927497	103	57548.51	588301	543	492	5	247666	8	145169	14	39782	26
ERR4635273.fasta	5535693	87	63628.66	528102	523	788	8	263530	8	209227	12	85854	21
ERR4635277.fasta	5885900	70	84084.29	913630	506	597	6	278320	6	216615	10	80522	20
ERR4635282.fasta	5872629	84	69912.25	736208	506	0	0	228766	8	142110	15	80521	25
ERR4635283.fasta	5436537	110	49423.06	392023	507	980	10	196950	10	124817	16	33496	31
ERR4635285.fasta	5844691	69	84705.67	1257647	506	496	5	386417	5	191455	10	80521	19
ERR4635287.fasta	5758932	95	60620.34	735122	503	882	9	327749	6	185685	10	40000	21
ERR4635289.fasta	5875690	80	73446.12	749825	506	879	9	307803	6	191458	11	80521	21
ERR4635291.fasta	5761166	92	62621.37	1126157	536	390	4	513961	5	214703	8	39732	19
ERR4635293.fasta	5879637	69	85212.13	1233631	506	597	6	310498	5	159327	11	84710	20
ERR4635295.fasta	5756188	68	84649.82	1399584	504	0	0	478040	4	309885	7	77051	13
ERR4635297.fasta	5877349	77	76329.21	798515	506	200	2	275609	7	170735	12	80720	21
ERR4635299.fasta	5875885	98	59958.01	918220	501	882	9	275609	6	159327	12	80699	21
ERR4635300.fasta	5786912	78	74191.18	661612	647	392	4	333760	6	227560	10	53422	19
ERR4635303.fasta	5870477	71	82682.77	736211	506	298	3	277319	6	159327	12	95898	21
ERR4635304.fasta	5752970	70	82185.29	1401384	634	496	5	438140	4	222973	8	75315	16
ERR4635309.fasta	5822046	76	76605.87	1401175	646	400	4	333501	5	298177	8	43736	17
ERR4635311.fasta	5571390	42	132652.14	1659792	546	785	8	379039	4	308896	7	93857	14
ERR4635312.fasta	5759615	73	78898.84	1185824	644	397	4	478199	4	310118	7	77266	13
ERR4635316.fasta	5571015	50	111420.30	833859	546	686	7	378861	5	250496	9	93856	16
ERR4635317.fasta	5594989	66	84772.56	1920319	533	599	6	415508	3	355662	6	45837	13
ERR4635319.fasta	5497126	42	130883.95	1206595	529	987	10	371589	5	350034	8	89804	14
ERR4635320.fasta	5587593	67	83396.91	1920325	533	790	8	471591	3	355976	6	43556	13
ERR4635324.fasta	5499968	41	134145.56	1556167	551	1384	14	656585	3	349709	6	99317	12
ERR4635325.fasta	5594344	65	86066.83	1804765	560	595	6	471591	3	324997	7	45396	15
ERR4635328.fasta	5481034	34	161206.88	1206305	551	1273	13	415238	4	350083	7	101313	12
ERR4635329.fasta	5527045	41	134805.98	739591	616	488	5	491629	5	333220	8	99475	14
ERR4635332.fasta	5497352	44	124939.82	1455630	551	1184	12	371816	4	288877	7	94231	14
ERR4635333.fasta	5584407	68	82123.63	982554	529	1574	16	378905	5	297979	8	109720	14
ERR4635336.fasta	5878449	89	66049.99	1063589	506	395	4	275609	6	159327	12	80521	22
ERR4635337.fasta	5353253	41	130567.15	2946274	563	1089	11	2946274	1	366536	3	108716	6
ERR4635340.fasta	5879511	75	78393.48	1119016	506	0	0	230059	7	145169	13	80521	23
ERR4635341.fasta	5541815	86	64439.71	712912	523	498	5	421508	5	213003	9	77415	17
ERR4635345.fasta	5872972	82	71621.61	736859	506	492	5	278320	7	159327	13	86432	22
ERR4635346.fasta	5503532	72	76437.94	410344	514	593	6	205439	11	112605	18	64785	30
ERR4635348.fasta	5497637	46	119513.85	912825	551	1078	11	631064	4	350432	7	88432	13
ERR4635351.fasta	5624594	56	100439.18	767041	562	488	5	429695	5	188537	10	86517	18
ERR4635353.fasta	5523943	60	92065.72	942532	570	590	6	609901	4	384826	6	89693	13
ERR4635355.fasta	5434768	65	83611.82	1333295	524	488	5	294309	6	224940	10	59336	17
ERR4635357.fasta	5897231	99	59567.99	1917597	514	1083	11	368694	4	264837	8	57903	18
ERR4635359.fasta	5620383	60	93673.05	621439	536	493	5	359620	6	188426	11	85022	21
ERR4635361.fasta	5907023	101	58485.38	1809831	508	491	5	399285	4	264743	8	57903	18
ERR4635365.fasta	5456723	117	46638.66	391817	526	491	5	182287	10	104797	19	27826	37
ERR4635367.fasta	5479495	48	114156.15	1992480	524	398	4	479826	3	293748	6	93135	11
ERR4635369.fasta	5985087	134	44664.83	500122	500	295	3	198700	11	129718	18	33361	40
ERR4635374.fasta	5367422	93	57714.22	541163	510	881	9	243756	8	150415	14	41867	26
ERR4635380.fasta	5620207	105	53525.78	541401	533	696	7	206410	9	120737	16	34914	31
ERR4635383.fasta	5950757	136	43755.57	499947	500	395	4	212769	10	98885	18	33229	40
ERR4635388.fasta	5518762	51	108211.02	742274	557	592	6	416012	5	341370	8	86610	15
ERR4635391.fasta	5374480	94	57175.32	377577	510	591	6	205230	9	131506	16	41407	28
ERR4635392.fasta	5487791	48	114328.98	648956	567	788	8	401446	6	214703	9	102636	15
ERR4635395.fasta	5650896	117	48298.26	541465	560	593	6	147958	10	107789	18	32387	36
ERR4635396.fasta	5657999	89	63573.02	517455	503	694	7	291680	8	203706	13	61458	24
ERR4635399.fasta	5965084	158	37753.70	504919	502	286	3	198700	10	129794	18	27896	42
ERR4635409.fasta	5992278	183	32744.69	500088	500	4633	47	151668	12	76947	24	23410	52
ERR4635412.fasta	5377372	53	101459.85	810928	546	493	5	379058	6	324955	9	94252	16
ERR4635420.fasta	5452339	34	160362.91	1547748	517	493	5	370739	4	293741	8	104436	14
ERR4635424.fasta	5681454	37	153552.81	1857372	529	876	9	427689	3	275579	7	97737	14
ERR4635425.fasta	5453307	43	126821.09	922654	510	1077	11	435572	5	285214	8	99634	14
ERR4635428.fasta	5744972	48	119686.92	1856474	529	489	5	427708	3	335404	6	93004	14
ERR4635438.fasta	5900280	72	81948.33	1251023	518	689	7	364952	6	179148	10	62964	20
ERR4635441.fasta	5558193	51	108984.18	792722	573	392	4	350136	5	249458	9	86516	17
ERR4635444.fasta	5556430	73	76115.48	968051	547	391	4	420811	5	273114	9	94442	15
ERR4635446.fasta	5561575	51	109050.49	792749	540	789	8	444131	5	320654	8	86516	16
ERR4635447.fasta	5590555	59	94755.17	828773	553	293	3	473254	5	358858	8	119459	12
ERR4635452.fasta	5346057	35	152744.49	1233438	520	786	8	469723	4	332415	7	104866	12
ERR4635456.fasta	5737846	67	85639.49	816050	532	683	7	414218	5	206935	9	78980	18
ERR4635460.fasta	5814747	111	52385.11	524987	508	397	4	137160	13	98178	23	41077	41
ERR4635461.fasta	5426088	67	80986.39	804065	501	1751	18	430091	5	359386	8	99318	12
ERR4635463.fasta	5556845	47	118230.74	836399	501	591	6	324026	6	199542	11	86539	19
ERR4635465.fasta	5541641	53	104559.26	766876	507	292	3	429273	5	240373	9	86649	16
ERR4635467.fasta	5431485	81	67055.37	503943	504	497	5	193459	9	121292	16	34822	33
ERR4635468.fasta	5787148	106	54595.74	627826	507	689	7	261252	8	167384	14	78640	24
ERR4635469.fasta	5668233	39	145339.31	1120450	510	1088	11	326347	5	239566	9	86565	16
ERR4635472.fasta	5460755	45	121350.11	798942	575	689	7	466484	5	293162	8	75238	14
ERR4635474.fasta	5378705	31	173506.61	1886004	607	1178	12	502251	3	379186	5	99437	9
ERR4635475.fasta	5485583	91	60281.13	556787	504	395	4	268945	8	120402	15	28064	32
ERR4635476.fasta	5608886	71	78998.39	1182435	536	295	3	330248	5	210919	10	77142	18
ERR4635479.fasta	5519316	74	74585.35	936163	503	688	7	321300	6	267354	9	64701	17
ERR4635480.fasta	5924245	95	62360.47	928753	504	487	5	399503	6	229561	10	43016	22
ERR4635628.fasta	5521601	80	69020.01	484319	535	494	5	301648	8	250441	12	53793	22
ERR4635631.fasta	6066488	490	12380.59	608689	500	1329	43	333532	8	133478	13	7505	39
ERR4635634.fasta	5544296	98	56574.45	513861	535	392	4	293091	8	133478	13	46129	26
ERR4635712.fasta	5853001	94	62265.97	884986	520	483	5	269662	6	159561	12	45955	23
ERR4635715.fasta	5693206	117	48659.88	540418	503	1176	12	215093	9	144460	15	40669	28
ERR4635718.fasta	5706349	116	49192.66	540463	503	1278	13	215131	9	112761	16	44939	30
ERR4635721.fasta	5474581	38	144067.92	665503	595	1168	12	431436	6	230057	9	130113	15
ERR4635724.fasta	5568264	73	76277.59	400502	500	3254	33	224319	10	123875	16	63532	29
ERR4635728.fasta	5573584	41	135941.07	728979	515	594	6	385823	6	230061	9	106143	16
ERR4635731.fasta	5497088	91	60407.56	886177	500	692	7	355948	6	232835	9	53792	20
ERR4635734.fasta	6078805	145	41922.79	322433	513	3747	38	118035	17	88945	29	34669	51
ERR4635737.fasta	5491976	65	84491.94	942229	536	884	9	346871	5	141963	10	70652	21
ERR4635740.fasta	5335476	44	121260.82	768395	540	786	8	473815	5	223921	8	141744	14
ERR4635743.fasta	5543349	101	54884.64	587996	542	392	4	259351	8	133478	14	46224	26
ERR4635746.fasta	5562538	108	51504.98	587845	507	494	5	333567	7	244398	11	40790	23
ERR4635747.fasta	5859860	98	59794.49	639207	522	5033	51	184733	11	99441	19	43470	36
ERR4635750.fasta	5619890	98	57345.82	570911	523	493	5	189122	10	129851	17	42250	30
ERR4635753.fasta	5757701	84	68544.06	395817	523	587	6	211634	10	135058	16	54557	30
ERR4635759.fasta	5571952	107	52074.32	588340	510	488	5	294130	8	146176	13	70551	23
ERR4635762.fasta	5853938	95	61620.40	424155	582	4337	44	184972	12	107177	19	46510	34
ERR4635772.fasta	5856290	92	63655.33	424520	518	4629	47	184970	11	106606	19	53565	33
ERR4635800.fasta	5403559	80	67544.49	480732	501	785	8	354812	7	183060	11	53856	22
ERR4661739.fasta	5682125	35	162346.43	1856863	578	1092	11	427020	3	275507	6	97737	14
ERR4661741.fasta	5575316	101	55201.15	850723	522	698	7	355166	6	225374	10	72842	19
ERR4661743.fasta	5431822	59	92064.78	471784	553	496	5	267032	8	210919	13	76935	21
ERR4661745.fasta	5581727	40	139543.17	1684653	520	795	8	490447	3	396567	6	127657	11
ERR4661747.fasta	5480837	43	127461.33	1464405	603	883	9	474092	4	328921	7	123894	11
ERR4661748.fasta	5459537	133	41049.15	454820	504	1274	13	165878	11	86942	20	32191	41
ERR4661749.fasta	5726003	55	104109.15	1751194	518	1083	11	436535	4	254678	7	94175	13
ERR4661750.fasta	5803369	75	77378.25	1176243	510	883	9	266741	6	188870	11	59727	22
ERR4661751.fasta	5640053	68	82941.96	1107824	522	590	6	378401	5	224405	9	75426	17
ERR4661752.fasta	5509858	45	122441.29	1154196	532	875	9	309877	5	193229	9	94380	18
ERR4661753.fasta	5588646	56	99797.25	1154478	536	487	5	353623	5	254117	9	94380	16
ERR4661754.fasta	5452998	28	194749.93	2424556	647	776	8	750079	2	479522	4	141504	7
ERR4661755.fasta	5549018	49	113245.27	668963	506	986	10	401715	6	293502	9	93137	16
ERR4702615.fasta	5518545	48	114969.69	1108700	508	397	4	488695	4	310239	7	101286	12
ERR4702616.fasta	5517641	47	117396.62	1108714	508	595	6	479596	4	359152	7	99315	12
ERR4702617.fasta	5518545	48	114969.69	1108700	508	397	4	488695	4	310239	7	101286	12
ERR4702618.fasta	5282566	41	128843.07	925569	524	517	7	367010	5	193409	9	80872	17
ERR4702619.fasta	5287208	23	229878.61	1465179	545	598	6	481473	3	408759	5	337000	8
ERR4702620.fasta	5287313	19	278279.63	1875490	545	615	8	1015595	2	440158	4	336271	7
ERR4702621.fasta	5586561	60	93109.35	489715	526	505	6	268069	8	215301	12	76431	23
ERR4702622.fasta	5591374	42	133127.95	969053	533	406	5	374752	5	295994	8	90521	15
ERR4702623.fasta	5589623	42	133086.26	1020100	542	592	6	489597	4	317453	7	94309	13
ERR4702624.fasta	5472788	61	89717.84	477599	502	1394	15	229627	9	167070	15	65768	26
ERR4702625.fasta	5472903	39	140330.85	954900	515	1004	11	478822	4	306377	7	98669	13
ERR4702626.fasta	5474456	32	171076.75	954727	533	716	9	504603	4	360886	7	98669	11
ERR4702627.fasta	5681208	128	44384.44	679027	531	1601	17	259201	8	177962	14	57600	25
ERR4702628.fasta	5618522	70	80264.60	664241	535	503	6	361134	6	310560	9	64519	16
ERR4702629.fasta	5620071	76	73948.30	908740	540	600	7	428598	5	253481	9	64519	17
ERR474467.fasta	5397368	55	98133.96	769418	524	883	9	298028	7	183065	11	94214	18
ERR474468.fasta	5449799	42	129757.12	1100469	638	1384	14	479393	4	206185	8	93357	15
ERR474469.fasta	5564699	62	89753.21	492069	533	1073	11	232877	8	155255	14	86468	23
ERR474470.fasta	5559717	73	76160.51	1208533	515	1780	19	400194	5	248767	8	80258	16
ERR474474.fasta	5413740	56	96673.93	953624	538	1270	13	284330	6	161924	12	56784	21
ERR474475.fasta	5356592	78	68674.26	452940	500	1392	15	199526	9	109879	16	53513	29
ERR474476.fasta	5386217	52	103581.10	953351	507	1179	12	337878	6	284299	9	98381	16
